Time,Pressure
326.64,5.746184803
326.65,5.401340075
326.66,5.490014434
326.67,5.460456314
326.68,6.002355172
326.69,6.002355172
326.7,5.450603607
326.71,5.568836086
326.72,5.490014434
326.73,6.761013576
326.74,6.632928392
326.75,10.54445295
326.76,19.00792839
326.77,24.03280943
326.78,26.49598643
326.79,31.54057336
326.8,33.67861123
326.81,40.81197335
326.82,45.72847644
326.83,48.90104976
326.84,51.00953035
326.85,53.08845284
326.86,54.94076298
326.87,56.73395697
326.88,64.5668654
326.89,72.38992367
326.9,78.4099357
326.91,85.55315837
326.92,87.81928428
326.93,84.45950628
326.94,77.79906664
326.95,73.19784624
326.96,65.82801317
326.97,61.32532154
326.98,56.26102641
326.99,55.82750687
327,52.88154532
327.01,55.06884787
327.02,55.65015766
327.03,56.12308821
327.04,62.88205062
327.05,63.98555422
327.06,64.76391862
327.07,70.64599056
327.08,77.06010624
327.09,77.05025111
327.1,79.26711002
327.11,79.94694701
327.12,76.19306061
327.13,76.8236347
327.14,76.5576107
327.15,73.05989618
327.16,75.80880309
327.17,76.04526761
327.18,76.71525161
327.19,81.8879263
327.2,80.55780887
327.21,83.08010326
327.22,87.93749124
327.23,88.77496962
327.24,91.50417054
327.25,92.81458035
327.26,92.45002852
327.27,99.30751632
327.28,104.9728258
327.29,104.0072585
327.3,104.7757714
327.31,102.9037547
327.32,105.9580982
327.33,99.56368539
327.34,101.1696786
327.35,99.3370744
327.36,95.39598884
327.37,92.34164712
327.38,91.44505053
327.39,97.02168666
327.4,96.19405719
327.41,98.47988769
327.42,101.7312832
327.43,101.0612978
327.44,103.6131524
327.45,106.2930911
327.46,107.2882143
327.47,109.0124406
327.48,107.3768897
327.49,104.1846086
327.5,108.687301
327.51,109.7711012
327.52,109.1996417
327.53,110.5297591
327.54,109.7119841
327.55,108.4803934
327.56,109.7316895
327.57,110.519907
327.58,107.5936481
327.59,112.5791235
327.6,110.7760765
327.61,112.9732313
327.62,113.9880614
327.63,113.2195501
327.64,112.7170596
327.65,112.7072077
327.66,113.2392551
327.67,111.8007564
327.68,111.4165014
327.69,111.8598738
327.7,110.2046165
327.71,108.6971519
327.72,112.9732296
327.73,109.3080193
327.74,107.1995371
327.75,109.4065458
327.76,110.5494618
327.77,110.0765298
327.78,109.2784609
327.79,108.4212743
327.8,105.8792733
327.81,105.7905987
327.82,111.1603287
327.83,107.2783597
327.84,106.2930868
327.85,107.2389485
327.86,108.6971501
327.87,105.8103048
327.88,106.8448391
327.89,111.1406236
327.9,111.4362064
327.91,112.1850111
327.92,105.701925
327.93,111.9288408
327.94,106.6871968
327.95,108.8843508
327.96,111.6234077
327.97,111.99781
327.98,108.4606849
327.99,109.0419948
328,111.002686
328.01,109.9484458
328.02,109.0518475
328.03,108.6675919
328.04,110.6479878
328.05,108.0862814
328.06,105.9975055
328.07,111.1110659
328.08,108.2734848
328.09,108.4705378
328.1,105.5639865
328.11,108.0665764
328.12,107.6133517
328.13,106.5295524
328.14,103.2978619
328.15,108.4212737
328.16,104.1944597
328.17,104.8742959
328.18,102.1155363
328.19,106.588669
328.2,106.1452964
328.21,104.3225441
328.22,106.3127937
328.23,99.03163616
328.24,93.13971314
328.25,95.18907769
328.26,87.63204704
328.27,83.39538038
328.28,75.38512634
328.29,67.18767227
328.3,51.05879039
328.31,46.75315773
328.32,49.85676194
328.33,49.76808775
328.34,51.32481623
328.35,53.00963021
328.36,53.36432792
328.37,54.31018816
328.38,54.32004108
328.39,52.38890922
328.4,53.50226594
328.41,56.10338194
328.42,55.28560712
328.43,54.4678316
328.44,53.99490166
328.45,53.28550595
328.46,52.91110245
328.47,51.88642026
328.48,51.39378527
328.49,53.2559473
328.5,50.81247543
328.51,49.7779404
328.52,50.16219631
328.53,49.55132822
328.54,48.25077008
328.55,49.39368465
328.56,49.07839804
328.57,49.16707222
328.58,48.08327405
328.59,47.66945991
328.6,49.44294794
328.61,48.53649878
328.62,47.58078553
328.63,47.72857634
328.64,46.2506696
328.65,47.73842862
328.66,47.22608811
328.67,46.23096405
328.68,44.4673291
328.69,45.29495636
328.7,44.0042517
328.71,43.84660799
328.72,41.67901186
328.73,43.18647628
328.74,41.7381281
328.75,41.01888031
328.76,41.3834304
328.77,40.84153148
328.78,39.34391961
328.79,40.53609709
328.8,36.2600214
328.81,33.93478187
328.82,31.3238138
328.83,27.40243575
328.84,22.69284116
328.85,20.15084252
328.86,17.13591399
328.87,15.70727148
328.88,13.1554203
328.89,5.677215857
328.9,5.10575888
328.91,5.460456314
328.92,5.243696771
328.93,6.031913292
328.94,5.795448336
328.95,6.189556596
328.96,5.184580533
328.97,6.741308163
328.98,5.933386227
328.99,5.361929249
329,6.002355173
329.01,5.864417281
329.02,6.15014577
329.03,5.854564575
329.04,5.283107597
329.05,5.765890216
329.06,5.036789934
329.07,6.357052608
329.08,5.430898194
329.09,5.539277966
329.1,5.49986714
329.11,5.608246912
329.12,6.416168847
329.13,5.962944346
329.14,5.184580532
329.15,6.002355173
329.16,5.933386227
329.17,6.081176824
329.18,6.751160869
329.19,5.913680815
329.2,6.041765999
329.21,6.573812152
329.22,6.386610727
329.23,5.805301043
329.24,6.573812151
329.25,7.076300185
329.26,6.682191923
329.27,7.342323262
329.28,6.948215
329.29,6.307789075
329.3,6.248672836
329.31,6.238820129
329.32,6.524548619
329.33,6.810277109
329.34,5.844711868
329.35,5.834859161
329.36,6.672339217
329.37,6.66248651
